Item_ID,Weight,Value
1,103,4633
2,436,3597
3,861,3284
4,271,1604
5,107,67
6,72,233
7,701,2157
8,21,1170
9,615,2159
10,122,4207
11,467,1494
12,215,4719
13,331,4008
14,459,2473
15,88,2661
16,373,2740
17,100,1762
18,872,3515
19,664,1976
20,131,2363
21,662,877
22,309,3813
23,770,3449
24,344,1313
25,492,1461
26,414,2710
27,806,2325
28,386,1734
29,192,1606
30,956,2564
31,277,3422
32,161,3518
33,460,2398
34,314,3736
35,22,2871
36,253,1161
37,748,4855
38,857,243
39,561,2591
40,475,1064
41,59,4325
42,511,2596
43,682,920
44,476,6
45,700,468
46,976,4171
47,783,4
48,190,646
49,958,118
50,687,2929
51,958,2552
52,563,4290
53,876,847
54,567,2763
55,244,1142
56,832,1811
57,505,724
58,131,225
59,485,4628
60,819,4209
61,647,4655
62,21,2049
63,841,4750
64,167,4416
65,274,1574
66,388,1829
67,601,1918
68,316,4235
69,14,2027
70,242,3745
71,777,902
72,346,4786
73,565,2040
74,898,10
75,340,261
76,92,1674
77,367,2220
78,956,2061
79,455,3714
80,428,1620
81,509,321
82,776,1343
83,943,2377
84,35,2833
85,206,2825
86,81,1995
87,932,2959
88,562,2039
89,872,3491
90,388,3678
91,2,1119
92,390,1605
93,566,4028
94,106,236
95,772,1970
96,822,4430
97,477,1909
98,703,376
99,402,3531
100,730,2636
101,556,1571
102,162,2561
103,202,3392
104,958,2966
105,996,3644
106,270,3851
107,863,873
108,816,1253
109,271,1315
110,456,4821
111,462,2899
112,727,78
113,252,2622
114,702,4228
115,296,601
116,725,1066
117,720,2137
118,749,2450
119,338,2344
120,879,1864
121,53,1319
122,792,4712
123,922,3598
124,217,3763
125,764,4671
126,188,2191
127,380,993
128,493,2713
129,41,2193
130,157,1249
131,15,3055
132,813,4599
133,65,4034
134,857,1998
135,839,4917
136,521,3688
137,344,2152
138,129,4019
139,648,3111
140,472,1971
141,63,198
142,139,2627
143,499,1203
144,593,2036
145,392,478
146,675,1255
147,419,923
148,289,420
149,379,2205
150,773,2598
151,490,1121
152,231,3069
153,41,951
154,28,2337
155,135,2244
156,201,2646
157,840,1858
158,780,4613
159,930,1866
160,33,2913
161,48,2854
162,503,4911
163,407,3229
164,574,3720
165,728,3229
166,805,2372
167,99,2892
168,684,3757
169,872,4226
170,726,95
171,987,2675
172,547,1956
173,961,794
174,739,1835
175,613,2117
176,943,4107
177,462,3326
178,643,2920
179,769,2598
180,5,3206
181,218,4808
182,503,815
183,767,346
184,398,2350
185,871,363
186,795,2444
187,393,2266
188,207,2189
189,15,3006
190,858,3282
191,554,985
192,892,1640
193,461,828
194,691,2731
195,575,3532
196,864,4452
197,743,2936
198,241,3877
199,564,127
200,96,3178
201,900,3057
202,734,604
203,485,3450
204,407,4147
205,231,3534
206,749,3368
207,655,3369
208,171,3798
209,541,1793
210,36,2862
211,525,3477
212,160,3418
213,839,1646
214,699,1206
215,243,3031
216,86,2873
217,796,3073
