Item_ID,Weight,Value
1,103,1518
2,436,4294
3,861,2658
4,271,3649
5,107,4949
6,72,3589
7,701,1538
8,21,3138
9,615,98
10,122,3216
11,467,4531
12,215,4733
13,331,3751
14,459,3158
15,88,4684
16,373,344
17,100,4667
18,872,611
19,664,1728
20,131,2291
21,662,1855
22,309,2609
23,770,2080
24,344,2325
25,492,4628
26,414,1178
27,806,1092
28,386,4980
29,192,2792
30,956,1750
31,277,2676
32,161,782
33,460,3049
34,314,2106
35,22,3868
36,253,4977
37,748,4543
38,857,2114
39,561,3971
40,475,1992
41,59,1068
42,511,1578
43,682,1012
44,476,2275
45,700,4870
46,976,1815
47,783,2427
48,190,4403
49,958,4875
50,687,2552
51,958,3658
52,563,8
53,876,2556
54,567,476
55,244,2212
56,832,485
57,505,4655
58,131,2286
59,485,4564
60,819,3526
61,647,3340
62,21,2823
63,841,4944
64,167,2925
65,274,259
66,388,283
67,601,1899
68,316,4136
69,14,2977
70,242,2268
71,777,3201
72,346,613
73,565,688
74,898,3691
75,340,613
76,92,2308
77,367,3014
78,956,1782
79,455,2592
80,428,2697
81,509,3959
82,776,575
83,943,1911
84,35,3605
85,206,670
86,81,4365
87,932,1284
88,562,924
89,872,1126
90,388,1530
91,2,1595
92,390,247
93,566,3712
94,106,1561
95,772,2401
96,822,2244
97,477,3865
98,703,1940
99,402,3070
100,730,227
101,556,3548
102,162,265
103,202,1396
104,958,3558
105,996,646
106,270,2991
107,863,1900
108,816,2505
109,271,2773
110,456,1155
111,462,588
112,727,4572
113,252,1822
114,702,986
115,296,4080
116,725,3349
117,720,3832
118,749,1242
119,338,190
120,879,981
121,53,1699
122,792,1716
123,922,2594
124,217,4137
125,764,4434
126,188,1099
127,380,2327
128,493,3248
129,41,896
130,157,1675
131,15,2910
132,813,931
133,65,4385
134,857,724
135,839,2941
136,521,1090
137,344,4579
138,129,936
139,648,2296
140,472,156
141,63,1071
142,139,1959
143,499,2502
144,593,4220
145,392,3831
146,675,855
147,419,640
148,289,2239
149,379,1603
150,773,442
151,490,4629
152,231,1337
153,41,3701
154,28,949
155,135,3374
156,201,460
157,840,4647
158,780,393
159,930,3939
160,33,1788
161,48,4941
162,503,2258
163,407,1139
164,574,3809
165,728,4742
166,805,2455
167,99,1467
168,684,3675
169,872,1378
170,726,2598
171,987,142
172,547,2660
173,961,4597
174,739,840
175,613,3619
176,943,3918
177,462,596
178,643,1905
179,769,281
180,5,424
181,218,4366
182,503,4250
183,767,1751
184,398,4758
185,871,1968
186,795,4089
187,393,4179
188,207,2947
189,15,1450
190,858,2332
191,554,2221
192,892,3790
193,461,2811
194,691,4729
195,575,1532
196,864,4883
197,743,2991
198,241,4494
199,564,1144
200,96,934
201,900,1461
202,734,2724
203,485,2513
204,407,286
205,231,265
206,749,2368
207,655,3448
208,171,4917
209,541,1763
210,36,3049
211,525,2382
212,160,2270
213,839,41
214,699,68
215,243,988
216,86,4009
217,796,3199
218,578,4791
219,682,2525
220,557,1086
221,574,2480
222,953,1694
223,646,2316
224,796,779
225,28,4590
226,620,1586
227,556,1493
228,340,661
229,798,1349
230,958,1300
231,331,3941
232,640,1987
233,506,2045
234,348,3517
235,473,1059
236,231,977
237,190,4578
238,225,728
239,385,2528
240,377,3137
241,283,343
242,958,1448
243,633,2380
244,628,3660
245,973,527
246,745,1897
247,259,4755
248,359,2074
249,710,4916
250,456,406
251,411,1574
252,649,4601
