Item_ID,Weight,Value
1,103,456
2,436,4925
3,861,895
4,271,1385
5,107,1959
6,72,3073
7,701,1997
8,21,4286
9,615,505
10,122,1215
11,467,1532
12,215,3441
13,331,824
14,459,929
15,88,134
16,373,2106
17,100,3628
18,872,4781
19,664,1853
20,131,4911
21,662,4176
22,309,2934
23,770,3285
24,344,4299
25,492,2812
26,414,1251
27,806,3513
28,386,1257
29,192,3377
30,956,3487
31,277,3585
32,161,1397
33,460,3638
34,314,3331
35,22,2704
36,253,471
37,748,1354
38,857,2784
39,561,2832
40,475,358
41,59,3020
42,511,668
43,682,4469
44,476,1146
45,700,4186
46,976,3720
47,783,2746
48,190,540
49,958,2780
50,687,4965
51,958,4137
52,563,4836
53,876,3776
54,567,2509
55,244,2780
56,832,925
57,505,2957
58,131,1582
59,485,3325
60,819,4486
61,647,256
62,21,4805
63,841,1839
64,167,1945
65,274,10
66,388,2872
67,601,798
68,316,4973
69,14,1016
70,242,1825
71,777,4470
72,346,3137
73,565,2194
74,898,224
75,340,4949
76,92,4159
77,367,3926
78,956,4785
79,455,4001
80,428,1634
81,509,2153
82,776,511
83,943,385
84,35,405
85,206,4614
86,81,4572
87,932,2001
88,562,2757
89,872,1669
90,388,1461
91,2,3637
92,390,2725
93,566,4810
94,106,4179
95,772,2049
96,822,4147
97,477,4781
98,703,717
99,402,4545
100,730,4977
101,556,4584
102,162,1824
103,202,2082
104,958,3420
105,996,1575
106,270,250
107,863,674
108,816,4534
109,271,2166
110,456,771
111,462,3963
112,727,4364
113,252,1985
114,702,1078
115,296,236
116,725,389
117,720,3038
118,749,4859
119,338,1849
120,879,4720
121,53,2815
122,792,3375
123,922,3279
124,217,1253
125,764,3982
126,188,4674
127,380,2123
128,493,4531
129,41,2151
130,157,4860
131,15,1330
132,813,1359
133,65,2483
134,857,4543
135,839,2018
136,521,1332
137,344,4345
138,129,4262
139,648,1359
140,472,4638
141,63,4855
142,139,3178
143,499,2129
144,593,2181
145,392,4893
146,675,138
147,419,3473
148,289,2833
149,379,3580
150,773,3032
151,490,4165
152,231,2594
153,41,4301
154,28,3819
155,135,4139
156,201,3824
157,840,4043
158,780,1907
159,930,761
160,33,3446
161,48,900
162,503,4456
163,407,2948
164,574,1720
165,728,281
166,805,3267
167,99,1888
168,684,3267
169,872,667
170,726,4189
171,987,672
172,547,1970
173,961,4157
174,739,3123
175,613,4700
176,943,4778
177,462,3901
178,643,524
179,769,2394
180,5,3118
181,218,2594
182,503,1969
183,767,1754
184,398,2297
185,871,2262
186,795,2287
187,393,4203
188,207,2879
189,15,4144
190,858,3645
191,554,4433
192,892,2056
193,461,4721
194,691,1277
195,575,2767
196,864,303
197,743,639
198,241,56
199,564,4822
200,96,526
201,900,4570
202,734,4124
203,485,2126
204,407,3288
205,231,365
206,749,4622
207,655,4979
208,171,1647
209,541,919
210,36,2798
211,525,1532
212,160,3346
213,839,1907
214,699,3087
215,243,4581
216,86,2076
217,796,714
218,578,1063
219,682,1977
220,557,1297
221,574,126
222,953,4633
223,646,3597
224,796,3284
225,28,1604
226,620,67
227,556,233
228,340,2157
229,798,1170
230,958,2159
231,331,4207
232,640,1494
233,506,4719
234,348,4008
235,473,2473
236,231,2661
237,190,2740
238,225,1762
239,385,3515
240,377,1976
241,283,2363
242,958,877
243,633,3813
244,628,3449
245,973,1313
246,745,1461
247,259,2710
248,359,2325
249,710,1734
250,456,1606
251,411,2564
252,649,3422
253,318,3518
254,677,2398
255,225,3736
256,819,2871
257,234,1161
258,684,4855
259,664,243
260,975,2591
261,827,1064
262,374,4325
263,672,2596
264,608,920
265,472,6
266,233,468
267,692,4171
268,113,4
269,830,646
270,497,118
271,442,2929
272,564,2552
273,268,4290
274,510,847
275,807,2763
276,386,1142
277,387,1811
278,113,724
279,613,225
280,625,4628
281,952,4209
282,81,4655
283,699,2049
284,113,4750
285,2,4416
286,642,1574
287,220,1829
288,566,1918
289,855,4235
290,997,2027
291,736,3745
292,225,902
293,385,4786
294,403,2040
295,638,10
296,130,261
297,53,1674
298,684,2220
299,730,2061
300,672,3714
301,710,1620
302,416,321
303,247,1343
304,836,2377
305,439,2833
306,203,2825
307,184,1995
308,123,2959
309,401,2039
310,767,3491
311,294,3678
312,280,1119
313,837,1605
314,884,4028
315,610,236
316,198,1970
317,982,4430
318,907,1909
319,511,376
320,752,3531
321,144,2636
322,609,1571
323,201,2561
324,124,3392
325,187,2966
326,326,3644
327,464,3851
328,349,873
329,771,1253
330,660,1315
