Item_ID,Weight,Value
1,103,770
2,436,1344
3,861,4359
4,271,3730
5,107,3907
6,72,1578
7,701,4009
8,21,3352
9,615,4796
10,122,2350
11,467,3603
12,215,1242
13,331,1126
14,459,2602
15,88,1191
16,373,4132
17,100,4840
18,872,4449
19,664,73
20,131,1915
21,662,2473
22,309,3047
23,770,708
24,344,1805
25,492,3714
26,414,2565
27,806,2476
28,386,3611
29,192,4256
30,956,2824
31,277,1736
32,161,1586
33,460,67
34,314,3062
35,22,2429
36,253,4154
37,748,342
38,857,2775
39,561,2818
40,475,2662
41,59,1233
42,511,3875
43,682,2402
44,476,1495
45,700,4212
46,976,662
47,783,3884
48,190,3620
49,958,1869
50,687,2335
51,958,3375
52,563,1017
53,876,4407
54,567,208
55,244,2666
56,832,2494
57,505,633
58,131,2103
59,485,2960
60,819,3084
61,647,4753
62,21,1932
63,841,3720
64,167,2563
65,274,1680
66,388,237
67,601,4444
68,316,4726
69,14,1541
70,242,3944
71,777,364
72,346,2369
73,565,286
74,898,149
75,340,4038
76,92,4552
77,367,1767
78,956,4896
79,455,1013
80,428,2832
81,509,2508
82,776,1524
83,943,2786
84,35,2557
85,206,3726
86,81,4577
87,932,1602
88,562,2409
89,872,341
90,388,2818
91,2,2497
92,390,4931
93,566,1726
94,106,1690
95,772,3268
96,822,4407
97,477,262
98,703,1443
99,402,406
100,730,2191
101,556,4438
102,162,244
103,202,4586
104,958,4108
105,996,561
106,270,4138
107,863,2726
108,816,594
109,271,1827
110,456,3230
111,462,3288
112,727,4074
113,252,134
114,702,3139
115,296,3920
116,725,73
117,720,4495
118,749,4226
119,338,2979
120,879,4362
121,53,1986
122,792,793
123,922,4260
124,217,95
125,764,1134
126,188,4918
127,380,238
128,493,2947
129,41,2531
130,157,1961
131,15,1049
132,813,2530
133,65,2965
134,857,964
135,839,537
136,521,4224
137,344,3680
138,129,4188
139,648,3725
140,472,543
141,63,846
142,139,3604
143,499,3037
144,593,2495
145,392,4486
146,675,2720
147,419,1885
148,289,4139
149,379,4350
150,773,3202
151,490,2711
152,231,1954
153,41,4738
154,28,3851
155,135,690
156,201,1951
157,840,457
158,780,2131
159,930,3977
160,33,4245
161,48,1180
162,503,4286
163,407,3566
164,574,883
165,728,400
166,805,609
