Item_ID,Weight,Value
1,103,3921
2,436,4461
3,861,482
4,271,154
5,107,1525
6,72,2121
7,701,2344
8,21,1241
9,615,61
10,122,939
11,467,1640
12,215,4121
13,331,4227
14,459,3570
15,88,1253
16,373,4204
17,100,172
18,872,1459
19,664,3550
20,131,4198
21,662,2323
22,309,1637
23,770,3116
24,344,4091
25,492,3005
26,414,330
27,806,3641
28,386,3895
29,192,4108
30,956,1342
31,277,3664
32,161,216
33,460,339
34,314,4063
35,22,2709
36,253,3153
37,748,1751
38,857,2422
39,561,710
40,475,3727
41,59,3643
42,511,3994
43,682,489
44,476,47
45,700,3360
46,976,4874
47,783,4807
48,190,401
49,958,3991
50,687,3158
51,958,4346
52,563,391
53,876,3854
54,567,4431
55,244,629
56,832,4233
57,505,2931
58,131,1522
59,485,827
60,819,4823
61,647,1501
62,21,3295
63,841,2420
64,167,935
65,274,3043
66,388,4498
67,601,1467
68,316,3562
69,14,615
70,242,1183
71,777,3224
72,346,2668
73,565,131
74,898,2984
75,340,4279
76,92,4460
77,367,39
78,956,3960
79,455,3588
80,428,921
81,509,2770
82,776,4112
83,943,493
84,35,1132
85,206,3522
86,81,311
87,932,739
88,562,3242
89,872,546
90,388,2462
91,2,4347
92,390,4855
93,566,1805
94,106,3213
95,772,3811
96,822,814
97,477,4125
98,703,2033
99,402,4573
100,730,4414
101,556,245
102,162,4844
103,202,4793
104,958,272
105,996,3512
106,270,1772
107,863,1263
108,816,2425
109,271,4362
110,456,921
111,462,3431
112,727,4436
113,252,4485
114,702,2625
115,296,3761
116,725,2051
117,720,3501
118,749,1166
119,338,376
120,879,2034
121,53,146
122,792,4389
123,922,432
124,217,705
125,764,2633
126,188,4495
127,380,964
128,493,2235
129,41,2042
130,157,1829
131,15,2109
132,813,4069
133,65,939
134,857,4806
135,839,807
136,521,1464
137,344,3416
138,129,11
139,648,1869
140,472,4868
141,63,885
142,139,3565
143,499,1390
144,593,3402
145,392,4322
146,675,825
147,419,2266
