Item_ID,Weight,Value
1,103,1932
2,436,3747
3,861,2428
4,271,1569
5,107,4001
6,72,2739
7,701,3499
8,21,3914
9,615,1067
10,122,4381
11,467,2445
12,215,4108
13,331,3374
14,459,3970
15,88,2547
16,373,754
17,100,2083
18,872,2775
19,664,2897
20,131,4186
21,662,776
22,309,1626
23,770,3070
24,344,418
25,492,115
26,414,617
27,806,3975
28,386,3268
29,192,826
30,956,1517
31,277,3147
32,161,413
33,460,729
34,314,3349
35,22,2809
36,253,676
37,748,3466
38,857,2505
39,561,2968
40,475,2787
41,59,1123
42,511,4080
43,682,1572
44,476,2144
45,700,1688
46,976,4133
47,783,3852
48,190,3441
49,958,3767
50,687,2327
51,958,2915
52,563,4969
53,876,3953
54,567,596
55,244,729
56,832,1366
57,505,4493
58,131,699
59,485,396
60,819,4172
61,647,4361
62,21,2503
63,841,1820
64,167,718
65,274,2783
66,388,4947
67,601,3578
68,316,144
69,14,4981
70,242,3141
71,777,4492
72,346,2939
73,565,3637
74,898,3223
75,340,1168
76,92,2617
77,367,1063
78,956,2157
79,455,2983
80,428,3295
81,509,4730
82,776,1157
83,943,733
84,35,4331
85,206,4847
86,81,954
87,932,2540
88,562,3325
89,872,3302
90,388,1543
91,2,1192
92,390,2994
93,566,2682
94,106,1218
95,772,1541
96,822,3237
97,477,2387
98,703,3720
99,402,1389
100,730,1857
101,556,1366
102,162,500
103,202,1681
104,958,511
105,996,4313
106,270,1325
107,863,1156
108,816,1828
109,271,3142
110,456,3487
111,462,1811
112,727,2924
113,252,2215
114,702,4187
115,296,714
116,725,3603
117,720,4135
118,749,3523
119,338,4269
120,879,4749
121,53,4850
122,792,1244
123,922,3710
124,217,1082
125,764,456
126,188,4925
127,380,895
128,493,1385
129,41,1959
130,157,3073
131,15,1997
132,813,4286
133,65,505
134,857,1215
135,839,1532
136,521,3441
137,344,824
138,129,929
139,648,134
140,472,2106
141,63,3628
142,139,4781
143,499,1853
144,593,4911
145,392,4176
146,675,2934
147,419,3285
148,289,4299
149,379,2812
150,773,1251
151,490,3513
152,231,1257
153,41,3377
154,28,3487
155,135,3585
156,201,1397
157,840,3638
158,780,3331
159,930,2704
160,33,471
161,48,1354
162,503,2784
163,407,2832
164,574,358
165,728,3020
166,805,668
167,99,4469
168,684,1146
169,872,4186
170,726,3720
171,987,2746
172,547,540
173,961,2780
174,739,4965
175,613,4137
176,943,4836
177,462,3776
178,643,2509
179,769,2780
180,5,925
181,218,2957
182,503,1582
183,767,3325
184,398,4486
185,871,256
186,795,4805
187,393,1839
188,207,1945
189,15,10
190,858,2872
191,554,798
192,892,4973
193,461,1016
194,691,1825
195,575,4470
196,864,3137
197,743,2194
198,241,224
199,564,4949
200,96,4159
201,900,3926
202,734,4785
203,485,4001
204,407,1634
205,231,2153
206,749,511
207,655,385
208,171,405
209,541,4614
210,36,4572
211,525,2001
212,160,2757
213,839,1669
214,699,1461
215,243,3637
216,86,2725
217,796,4810
218,578,4179
219,682,2049
220,557,4147
221,574,4781
222,953,717
223,646,4545
224,796,4977
225,28,4584
226,620,1824
227,556,2082
228,340,3420
229,798,1575
230,958,250
231,331,674
232,640,4534
233,506,2166
234,348,771
235,473,3963
236,231,4364
237,190,1985
238,225,1078
239,385,236
240,377,389
241,283,3038
242,958,4859
243,633,1849
244,628,4720
245,973,2815
246,745,3375
247,259,3279
248,359,1253
249,710,3982
250,456,4674
251,411,2123
252,649,4531
253,318,2151
254,677,4860
255,225,1330
256,819,1359
257,234,2483
258,684,4543
259,664,2018
260,975,1332
261,827,4345
262,374,4262
263,672,1359
264,608,4638
265,472,4855
266,233,3178
267,692,2129
268,113,2181
269,830,4893
270,497,138
271,442,3473
272,564,2833
273,268,3580
274,510,3032
275,807,4165
276,386,2594
277,387,4301
278,113,3819
279,613,4139
280,625,3824
281,952,4043
282,81,1907
283,699,761
284,113,3446
285,2,900
286,642,4456
287,220,2948
288,566,1720
289,855,281
290,997,3267
291,736,1888
292,225,3267
293,385,667
294,403,4189
295,638,672
296,130,1970
297,53,4157
298,684,3123
299,730,4700
300,672,4778
301,710,3901
302,416,524
303,247,2394
304,836,3118
305,439,2594
306,203,1969
307,184,1754
308,123,2297
309,401,2262
310,767,2287
311,294,4203
312,280,2879
313,837,4144
314,884,3645
315,610,4433
316,198,2056
317,982,4721
318,907,1277
319,511,2767
320,752,303
321,144,639
322,609,56
323,201,4822
324,124,526
325,187,4570
326,326,4124
327,464,2126
328,349,3288
329,771,365
330,660,4622
331,764,4979
332,955,1647
333,932,919
334,403,2798
335,346,1532
336,963,3346
337,511,1907
338,147,3087
339,148,4581
340,864,2076
341,711,714
342,820,1063
343,489,1977
344,929,1297
345,936,126
346,640,4633
347,551,3597
348,338,3284
349,872,1604
350,641,67
351,779,233
352,988,2157
353,953,1170
354,473,2159
355,946,4207
356,151,1494
357,415,4719
358,990,4008
